Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2022-12-16,111.07,111.989998,108.800003,111.339996,56238500,108.446514,111.3660237,116.5023334,121.6386431,Increasing
2022-12-17,112.019997,112.25,108.980003,108.980003,44772800,106.147852,110.3201147,116.1678335,122.0155524,Decreasing
2022-12-18,108.910004,109.519997,105.809998,106.029999,96453300,103.274512,108.6549713,115.6023334,122.5496955,Decreasing
2022-12-21,107.279999,107.370003,105.57,107.330002,47590600,104.540731,107.258165,114.9723335,122.686502,Increasing
2022-12-22,107.400002,107.720001,106.449997,107.230003,32789400,104.443331,106.1462306,114.4153336,122.6844365,Decreasing
2022-12-23,107.269997,108.849998,107.199997,108.610001,32657400,105.787465,105.4331627,113.9038335,122.3745043,Increasing
2022-12-24,109,109,107.949997,108.029999,13570400,105.222536,104.8606684,113.4005001,121.9403318,Decreasing
2022-12-28,107.589996,107.690002,106.18,106.82,26704200,104.043982,104.1277985,112.8483335,121.5688684,Decreasing
2022-12-29,106.959999,109.43,106.860001,108.739998,30931200,105.914084,103.8135822,112.3411667,120.8687512,Increasing
2022-12-30,108.580002,108.699997,107.18,107.32,25213800,104.530989,103.4598559,111.8443334,120.2288108,Decreasing
2022-12-31,107.010002,107.029999,104.82,105.260002,40635300,102.524526,102.8238662,111.2883334,119.7528005,Decreasing
2023-01-04,102.610001,105.370003,102,105.349998,67649400,102.612183,101.9580427,110.7301667,119.5022907,Increasing
2023-01-05,105.75,105.849998,102.410004,102.709999,55791000,100.040792,101.3646127,110.0231668,118.6817208,Decreasing
2023-01-06,100.559998,102.370003,99.870003,100.699997,68457400,98.083025,100.5769808,109.1396668,117.7023529,Increasing
2023-01-07,98.68,100.129997,96.43,96.449997,81094400,93.943473,99.17277311,108.1283334,117.0838936,Decreasing
2023-01-08,98.550003,99.110001,96.760002,96.959999,70798000,94.440222,97.9236546,107.2024333,116.481012,Decreasing
2023-01-11,98.970001,99.059998,97.339996,98.529999,49739400,95.96942,97.22509425,106.3074998,115.3899053,Decreasing
2023-01-12,100.550003,100.690002,98.839996,99.959999,49154200,97.362258,96.79499958,105.6086665,114.4223334,Decreasing
2023-01-13,100.32,101.190002,97.300003,97.389999,62439600,94.859047,96.1011593,104.9574998,113.8138403,Decreasing
2023-01-14,97.959999,100.480003,95.739998,99.519997,63170100,96.93369,95.54254396,104.3258331,113.1091223,Increasing
2023-01-15,96.199997,97.709999,95.360001,97.129997,79010000,94.605802,94.76300547,103.6269998,112.4909941,Increasing
2023-01-19,98.410004,98.650002,95.5,96.660004,53087700,94.148022,94.16719724,102.9703331,111.773469,Decreasing

